BlueDriver Data Log
2 jan. 2021 11:30:15
Time (s),Engine Coolant Temperature (deg C),Calculated Engine Load Value (%),Absolute Throttle Position (%),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Intake Air Temperature (deg C),O2 Bank 1 - Sensor 1 - Oxygen Sensor Voltage (V),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Engine RPM (rpm),Intake Manifold Absolute Pressure (kPa),Timing Advance for #1 cylinder (deg ),Vehicle Speed (km/h),O2 Bank 1 - Sensor 1 - Short Term Fuel Trim (%),Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%)
"0,0",,,,,,,,,,,,,,
"1,6",9,"28,6","16,0","99,2",2,"0,445","0,445",,,,,,,
"3,2",9,"28,6","15,7","99,2",2,"0,445","0,448",1068,"35,0","14,0",0,"0,0","0,0","3,1"
"4,8",10,"28,9","15,9","99,2",2,"0,445","0,450",1061,"35,0","13,8",0,"0,0","0,0","3,1"
"6,4",10,"29,1","16,1","99,2",2,"0,445","0,450",1068,"35,0","12,7",0,"0,0","0,0","3,1"
"8,0",11,"29,4","16,1","99,2",2,"0,445","0,450",1066,"35,0","11,9",0,"0,0","0,0","3,1"
"9,6",11,"29,2","16,0","99,2",2,"0,445","0,450",1065,"35,0","10,8",0,"0,0","0,0","3,1"
"11,2",12,"29,0","15,7","99,2",2,"0,445","0,450",1058,"35,0","11,2",0,"0,0","0,0","3,1"
"12,8",12,"29,0","15,7","99,2",2,"0,445","0,450",1051,"35,0","12,2",0,"0,0","0,0","3,1"
"14,4",12,"33,3","16,2","99,2",2,"0,445","0,450",1041,"35,0","13,5",0,"0,0","0,0","3,1"
"16,0",12,"39,7","17,3","99,2",2,"0,445","0,450",1001,"42,8","4,2",0,"0,0","0,0","3,1"
"17,6",12,"40,0","17,1","99,2",2,"0,445","0,450",1011,"46,9","-2,5",0,"0,0","0,0","3,1"
"19,2",12,"38,5","16,8","99,2",2,"0,445","0,450",1046,"42,9","0,4",0,"0,0","0,0","3,1"
"20,8",13,"35,8","16,5","99,2",2,"0,445","0,450",1021,"42,4","0,2",0,"0,0","0,0","3,1"
"22,4",14,"41,6","16,9","99,2",2,"0,445","0,450",980,"45,6","-0,5",0,"0,0","0,0","3,1"
