BlueDriver Data Log
9 dec. 2020 11:45:19
Time (s),Engine Coolant Temperature (deg C),Calculated Engine Load Value (%),Absolute Throttle Position (%),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Intake Air Temperature (deg C),O2 Bank 1 - Sensor 1 - Oxygen Sensor Voltage (V),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Engine RPM (rpm),Intake Manifold Absolute Pressure (kPa),Timing Advance for #1 cylinder (deg ),Vehicle Speed (km/h),O2 Bank 1 - Sensor 1 - Short Term Fuel Trim (%),Short Term Fuel Trim Bank 1 (%),Long Term Fuel Trim Bank 1 (%)
"0,0",,,,,,,,,,,,,,
"1,6",77,"25,3","14,1","99,2",6,"0,658","0,450",701,"35,0","0,6",,,,
"3,2",77,"25,1","14,1","99,2",6,"0,453","0,450",701,"35,0","1,4",0,"2,7","3,4","0,0"
"4,8",77,"25,2","14,1","99,2",6,"0,271","0,453",703,"35,0","1,9",0,"3,0","3,9","0,0"
"6,4",77,"25,1","14,1","99,2",7,"0,107","0,459",706,"35,0","1,3",0,"0,5","2,7","0,0"
"8,0",76,"25,1","14,1","99,2",7,"0,424","0,455",708,"35,0","1,1",0,"0,3","1,7","0,0"
"9,6",77,"25,1","14,1","99,2",7,"0,740","0,450",736,"35,0","0,0",0,"2,3","3,1","0,0"
"11,2",77,"28,7","14,2","99,2",7,"0,817","0,450",2210,"32,6","-4,8",0,"1,3","1,9","0,0"
"12,8",77,"42,9","15,6","99,2",7,"0,814","0,450",1674,"46,0","-8,2",0,"0,0","0,0","0,0"
"14,4",77,"30,2","15,7","99,2",7,"0,806","0,450",12,"98,4","-2,9",0,"0,2","0,0","0,0"
"16,0",76,"0,4","15,6","99,2",7,"0,815","0,450",102,"93,9","0,3",0,"0,0","0,0","0,0"
"17,6",76,"21,7","15,6","99,2",7,"0,828","0,450",237,"85,8","5,9",0,"0,1","0,2","0,0"
"19,2",75,"49,6","15,3","99,2",7,"0,883","0,450",781,"68,4","1,2",0,"0,0","0,0","0,0"
"20,8",76,"45,7","15,5","99,2",7,"0,889","0,452",790,"53,0","-4,3",0,"0,0","0,0","0,0"
"22,4",76,"42,8","15,7","99,2",7,"0,885","0,460",803,"52,7","-8,3",0,"0,0","0,0","0,0"
"24,0",76,"41,9","15,7","99,2",7,"0,851","0,454",813,"52,1","-8,5",0,"0,0","0,0","0,0"
"25,6",76,"41,1","15,7","99,2",7,"0,851","0,452",820,"50,9","-8,5",0,"0,0","0,1","0,0"
"27,2",76,"40,0","15,7","99,2",7,"0,833","0,460",784,"46,5","-9,3",0,"0,0","0,0","0,0"
"28,8",76,"37,0","15,2","99,2",7,"0,833","0,457",762,"47,2","-9,8",0,"-0,1","0,0","0,0"
"30,4",76,"37,5","14,9","99,2",7,"0,827","0,450",687,"47,9","-8,4",0,"-5,3","-3,8","0,0"
"32,0",76,"37,9","14,9","99,2",7,"0,106","0,450",686,"48,5","-7,5",0,"-7,0","-7,3","0,0"
"33,6",76,"38,6","14,9","99,2",7,"0,107","0,450",686,"49,0","-6,0",0,"-10,1","-10,0","0,0"
"35,2",76,"39,1","14,9","99,2",7,"0,266","0,450",702,"48,6","-7,4",0,"-8,3","-8,5","0,0"
"36,8",77,"38,2","14,9","99,2",8,"0,180","0,450",711,"49,0","-8,3",0,"-6,2","-6,3","0,0"
"38,4",77,"38,2","14,9","99,2",8,"0,109","0,451",730,"49,0","-7,5",0,"-4,6","-4,6","0,0"
"40,0",77,"38,0","14,9","99,2",8,"0,165","0,460",710,"47,6","-8,0",0,"-5,7","-5,6","0,0"
"41,6",77,"37,7","14,9","99,2",8,"0,138","0,457",713,"47,9","-8,5",0,"-7,0","-6,9","0,0"
"43,2",77,"36,9","14,8","99,2",8,"0,119","0,450",723,"46,9","-8,4",0,"-5,7","-5,4","0,0"
"44,8",77,"33,2","14,5","99,2",8,"0,687","0,450",711,"47,4","-9,2",0,"-5,2","-4,5","0,0"
"46,4",77,"34,1","15,5","99,2",8,"0,562","0,450",768,"48,0","-10,5",0,"-6,9","-7,7","0,0"
"48,0",77,"35,7","17,3","99,2",8,"0,059","0,450",2393,"54,5","-4,1",0,"-4,9","-5,3","0,0"
"49,6",77,"40,2","21,3","99,2",8,"0,077","0,450",2446,"58,1","1,3",0,"-2,4","-1,6","0,0"
"51,2",76,"37,8","22,7","99,2",8,"0,181","0,450",2484,"54,9","0,0",3,"-5,4","-5,1","0,0"
"52,8",75,"31,8","18,4","99,2",8,"0,780","0,450",1636,"55,5","4,0",5,"-6,4","-6,8","0,0"
"54,4",75,"29,0","16,5","99,2",8,"0,797","0,450",1432,"57,9","6,3",7,"-7,8","-6,3","0,0"
"56,0",75,"31,9","16,4","99,2",8,"0,830","0,450",620,"68,5","-11,8",0,"-4,5","-4,4","0,0"
"57,6",75,"44,1","23,3","99,2",8,"0,649","0,450",837,"63,5","-10,1",1,"-4,8","-2,4","0,0"
"59,2",75,"41,5","22,0","99,2",8,"0,084","0,450",1439,"40,8","0,0",10,"-6,0","-6,6","0,0"
"60,8",75,"32,8","14,9","99,2",8,"0,065","0,450",1440,"40,9","0,0",10,"-6,2","-6,9","0,0"
"62,4",75,"32,9","15,2","99,2",8,"0,047","0,450",1336,"34,0","4,2",9,"-5,8","-6,6","0,0"
"64,0",75,"32,9","17,3","99,2",9,"0,370","0,450",1390,"36,3","9,7",9,"-5,5","-6,3","0,0"
"65,6",75,"32,1","17,5","99,2",9,"0,601","0,450",1458,"40,0","16,9",10,"-5,4","-6,2","0,0"
"67,2",75,"31,3","18,0","99,2",9,"0,229","0,450",1623,"55,6","16,7",11,"-2,8","-4,4","0,0"
"68,8",75,"29,7","16,8","99,2",9,"0,155","0,450",1490,"56,8","13,7",12,"0,7","-0,8","0,0"
"70,4",75,"29,6","15,6","99,2",9,"0,051","0,450",1034,"31,0","-1,0",12,"-3,0","-2,0","0,0"
"72,0",75,"29,0","14,9","99,2",9,"0,391","0,450",945,"33,6","-1,1",11,"-4,5","-3,9","0,0"
"73,6",75,"30,0","14,8","99,2",9,"0,700","0,450",804,"39,0","-1,5",6,"-11,6","-9,2","0,0"
"75,2",75,"31,4","14,5","99,2",9,"0,373","0,450",734,"41,1","-2,9",4,"-10,9","-10,0","0,0"
"76,8",76,"32,8","14,5","99,2",9,"0,364","0,450",695,"43,4","-4,3",0,"-9,4","-11,6","0,0"
"78,4",76,"33,2","14,5","99,2",9,"0,356","0,450",706,"44,9","-3,0",0,"-10,3","-11,3","0,0"
"80,0",76,"34,1","14,5","99,2",9,"0,205","0,450",708,"44,6","-2,5",0,"-10,4","-10,0","0,0"
"81,6",77,"33,7","14,5","99,2",9,"0,055","0,450",711,"44,0","-1,5",0,"-8,5","-5,4","0,0"
"83,2",77,"33,3","14,5","99,2",9,"0,058","0,450",724,"43,3","-3,2",0,"-8,2","-6,4","0,0"
"84,8",77,"33,2","14,5","99,2",9,"0,062","0,450",725,"43,3","-4,8",0,"-7,4","-7,7","0,0"
